Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:23:35.160,145.0,171.9482421875
2025-07-12 18:23:35.194,145.0,171.9482421875
2025-07-12 18:23:35.228,145.0,171.9482421875
2025-07-12 18:23:35.262,145.0,171.9482421875
2025-07-12 18:23:35.296,145.0,171.9482421875
2025-07-12 18:23:35.330,145.0,171.9482421875
2025-07-12 18:23:35.364,145.0,171.9482421875
2025-07-12 18:23:35.397,145.0,171.9482421875
2025-07-12 18:23:35.431,145.0,171.9482421875
2025-07-12 18:23:35.465,145.0,171.9482421875
2025-07-12 18:23:35.499,145.0,171.9482421875
2025-07-12 18:23:35.533,145.0,171.9482421875
2025-07-12 18:23:35.567,145.0,171.9482421875
2025-07-12 18:23:35.601,145.0,171.9482421875
2025-07-12 18:23:35.635,145.0,171.9482421875
2025-07-12 18:23:35.669,145.0,171.9482421875
2025-07-12 18:23:35.703,145.0,171.9482421875
2025-07-12 18:23:35.737,145.0,171.9482421875
2025-07-12 18:23:35.771,145.0,171.9482421875
2025-07-12 18:23:35.805,145.0,171.9482421875
2025-07-12 18:23:35.839,145.0,171.9482421875
2025-07-12 18:23:35.873,145.0,171.9482421875
2025-07-12 18:23:35.907,145.0,171.9482421875
2025-07-12 18:23:35.941,145.0,171.9482421875
2025-07-12 18:23:35.975,145.0,171.9482421875
2025-07-12 18:23:36.009,145.0,171.9482421875
2025-07-12 18:23:36.043,145.0,171.9482421875
2025-07-12 18:23:36.077,145.0,171.9482421875
2025-07-12 18:23:36.111,145.0,171.9482421875
2025-07-12 18:23:36.146,145.0,171.9482421875
2025-07-12 18:23:36.180,145.0,171.9482421875
2025-07-12 18:23:36.214,145.0,171.9482421875
2025-07-12 18:23:36.248,145.0,171.9482421875
2025-07-12 18:23:36.282,145.0,171.9482421875
2025-07-12 18:23:36.316,145.0,171.9482421875
2025-07-12 18:23:36.350,145.0,171.9482421875
2025-07-12 18:23:36.384,145.0,171.9482421875
2025-07-12 18:23:36.418,145.0,171.9482421875
2025-07-12 18:23:36.452,145.0,171.9482421875
2025-07-12 18:23:36.486,145.0,171.9482421875
2025-07-12 18:23:36.520,145.0,171.9482421875
2025-07-12 18:23:36.554,145.0,171.9482421875
2025-07-12 18:23:36.588,145.0,171.9482421875
2025-07-12 18:23:36.622,145.0,171.9482421875
2025-07-12 18:23:36.656,145.0,171.9482421875
2025-07-12 18:23:36.690,145.0,171.9482421875
2025-07-12 18:23:36.724,145.0,171.9482421875
2025-07-12 18:23:36.758,145.0,171.9482421875
2025-07-12 18:23:36.792,145.0,171.9482421875
2025-07-12 18:23:36.826,145.0,171.9482421875
2025-07-12 18:23:36.860,145.0,171.9482421875
2025-07-12 18:23:36.894,145.0,171.9482421875
2025-07-12 18:23:36.928,145.0,171.9482421875
2025-07-12 18:23:36.961,145.0,171.9482421875
2025-07-12 18:23:36.995,145.0,171.9482421875
2025-07-12 18:23:37.029,145.0,171.9482421875
2025-07-12 18:23:37.064,145.0,171.9482421875
2025-07-12 18:23:37.098,145.0,171.9482421875
2025-07-12 18:23:37.131,145.0,171.9482421875
2025-07-12 18:23:37.165,145.0,171.9482421875
2025-07-12 18:23:37.199,145.0,171.9482421875
2025-07-12 18:23:37.233,145.0,171.9482421875
2025-07-12 18:23:37.267,145.0,171.9482421875
2025-07-12 18:23:37.302,145.0,172.119140625
2025-07-12 18:23:37.335,145.0,172.6318359375
2025-07-12 18:23:37.369,145.0,172.802734375
2025-07-12 18:23:37.403,145.0,172.5830078125
2025-07-12 18:23:37.437,145.0,171.97265625
2025-07-12 18:23:37.471,145.0,171.97265625
2025-07-12 18:23:37.505,145.0,171.97265625
2025-07-12 18:23:37.539,145.0,172.2900390625
2025-07-12 18:23:37.572,145.0,172.7294921875
2025-07-12 18:23:37.606,145.0,172.314453125
2025-07-12 18:23:37.640,145.0,171.97265625
2025-07-12 18:23:37.674,145.0,171.97265625
2025-07-12 18:23:37.709,145.0,171.97265625
2025-07-12 18:23:37.743,145.0,171.97265625
2025-07-12 18:23:37.776,145.0,171.97265625
2025-07-12 18:23:37.810,145.0,171.97265625
2025-07-12 18:23:37.843,145.0,171.97265625
2025-07-12 18:23:37.878,145.0,171.97265625
2025-07-12 18:23:37.911,145.0,171.97265625
2025-07-12 18:23:37.945,145.0,171.97265625
2025-07-12 18:23:37.980,145.0,171.97265625
2025-07-12 18:23:38.014,145.0,171.97265625
2025-07-12 18:23:38.048,145.0,171.97265625
2025-07-12 18:23:38.082,145.0,171.97265625
2025-07-12 18:23:38.116,145.0,171.97265625
2025-07-12 18:23:38.150,145.0,171.97265625
2025-07-12 18:23:38.184,145.0,171.97265625
2025-07-12 18:23:38.218,145.0,171.97265625
2025-07-12 18:23:38.252,145.0,171.97265625
2025-07-12 18:23:38.286,145.0,171.97265625
2025-07-12 18:23:38.320,145.0,171.97265625
2025-07-12 18:23:38.354,145.0,171.97265625
